cod_departamento,departamento,ipm,si_ac_fu_ag,bsp_cpi,analfabetismo,ba_ac_se_sa,sin_ale_sal,hacinamiento_critico,ina_eli_exc,inasistencia_escolar,baj_log_edu,ma_in_pa_ex,mat_ina_pis,rezago_escolar,trabajo_infantil,cod_municipio,municipio,clase
"19","CAUCA","29,4","10,2","1,8","10,4","6,1","15","5,4","10,3","4,9","61","5,3","21,3","14,3","1,3","19001","POPAYAN","Resto",
"19","CAUCA","66","61,1","1","25,5","5,5","6,3","7,2","58,3","7","85,5","0,2","86,2","16,9","2,3","19022","ALMAGUER","Resto",
"19","CAUCA","52,7","26,7","3","16,7","14,2","14,5","4,4","13,3","10,1","85,7","4,2","30,9","20","4,8","19050","ARGELIA","Resto",
"19","CAUCA","50,3","56,9","1,8","17,2","8,5","7,3","3,8","16,6","7,3","83,6","1,6","63,6","15,9","3,6","19075","BALBOA","Resto",
"19","CAUCA","55,4","54,2","1,5","19,6","3,1","7,5","6,7","38,3","6,4","82,8","0,4","79","14,8","2,5","19100","BOLIVAR","Resto",
"19","CAUCA","43,4","42,9","3","15,6","5,7","15,1","4,1","18,1","5,1","70,2","2,8","36,8","18,6","2,8","19110","BUENOS AIRES","Resto",
"19","CAUCA","59,3","63,2","1,6","20,9","8,1","9,6","6","32","8,1","82,4","3,4","46,5","20,9","3,8","19130","CAJIBIO","Resto",
"19","CAUCA","57,6","16,8","3,4","22,4","11,9","12,7","11,5","30,8","7,6","75","3","51,8","20,8","5,2","19137","CALDONO","Resto",
"19","CAUCA","42,3","34,9","1,8","15,5","5,8","12,1","6,5","19,9","3,4","61","14,5","45,2","18,3","2,3","19142","CALOTO","Resto",
"19","CAUCA","48,3","38,7","1,2","19","7,8","10,6","5,5","24,4","6,3","72","12,1","52,9","17,8","3,7","19212","CORINTO","Resto",
"19","CAUCA","47,1","31","1,8","18,9","10,3","9,9","5,1","23,8","5,7","82,1","5,4","35,3","15,7","2,8","19256","EL TAMBO","Resto",
"19","CAUCA","40,1","12,5","0,6","17,9","4,2","6,1","5,3","19,8","6,9","83,9","0,4","22,7","18,8","3,6","19290","FLORENCIA","Resto",
"19","CAUCA","21,2","10,3","1,8","9,7","3,5","18","2,2","8,1","1,9","46","1,1","7,7","16,8","0,2","19300","GUACHENE","Resto",
"19","CAUCA","79,9","76,3","15,2","36","1,3","33,7","7,9","81,8","11,1","85","1","4","40,2","5","19318","GUAPI","Resto",
"19","CAUCA","60,9","25,3","2,2","18,1","16,6","13,6","5,7","31,2","5,7","74","1,6","51","22,4","3,5","19355","INZA","Resto",
"19","CAUCA","49,8","25,3","2","23,5","10,5","9,2","6,6","26,6","6,1","71,3","1,1","57,3","22,1","5,7","19364","JAMBALO","Resto",
"19","CAUCA","55,9","25,7","1,3","17,7","6,3","10,5","6,3","31,8","3,4","75,9","5,7","66,2","15,6","1,1","19392","LA SIERRA","Resto",
"19","CAUCA","58,1","32,7","1,7","17,1","8,7","11,8","6,5","38,9","5","77,2","0,6","70,3","16,8","1,8","19397","LA VEGA","Resto",
"19","CAUCA","84,9","88,8","18,8","29,1","6,3","35,8","12,3","62,8","10,6","82,1","1","1,7","42,7","2,4","19418","LOPEZ DE MICAY","Resto",
"19","CAUCA","52,1","44,4","1","20,3","4,6","8,3","4,5","43,5","4,3","83","1,7","58,3","14,6","2,7","19450","MERCADERES","Resto",
"19","CAUCA","29","13,3","1,8","14,5","8,7","12,2","3","8,7","3,5","61,8","5,8","21,2","14,2","2,1","19455","MIRANDA","Resto",
